0;0;0;0;land;false;unknown;0
1;5;8;44;sea;true;ocean;0
2;34;37;2;sea;false;ocean;0
3;69;1;27;sea;true;ocean;0
4;32;1;51;sea;false;ocean;0
5;15;24;37;sea;true;ocean;0
6;28;0;2;sea;false;ocean;0
7;43;42;8;sea;false;ocean;0
8;7;12;28;sea;false;ocean;0
9;52;11;6;sea;false;ocean;0
10;36;9;8;sea;false;ocean;0
11;78;1;4;sea;false;ocean;0
12;4;9;36;sea;false;ocean;0
13;4;32;16;sea;false;ocean;0
14;0;12;44;sea;false;ocean;0
15;38;4;57;sea;false;ocean;0
16;12;0;79;sea;false;ocean;0
17;9;66;22;sea;false;ocean;0
18;15;3;51;sea;false;ocean;0
19;45;30;20;sea;false;ocean;0
20;55;29;2;sea;true;ocean;0
21;11;54;24;sea;false;ocean;0
22;26;42;16;sea;false;ocean;0
23;32;53;1;sea;true;ocean;0
24;13;4;38;sea;false;ocean;0
25;29;16;6;sea;false;ocean;0
26;15;74;3;sea;false;ocean;0
27;44;11;15;sea;false;ocean;0
28;28;39;24;sea;true;ocean;0
29;6;55;19;sea;false;ocean;0
30;2;44;6;sea;false;ocean;0
31;38;9;42;sea;false;ocean;0
32;60;0;37;sea;false;ocean;0
33;53;4;39;sea;false;ocean;0
34;18;64;7;sea;false;ocean;0
35;19;6;47;sea;true;ocean;0
36;0;1;6;sea;true;ocean;0
37;8;42;33;sea;false;ocean;0
38;10;84;0;sea;true;ocean;0
39;31;28;10;sea;false;ocean;0
40;77;10;9;sea;false;ocean;0
41;39;0;3;sea;true;ocean;0
42;3;43;15;sea;false;ocean;0
43;26;9;60;sea;false;ocean;0
44;23;12;10;sea;false;ocean;0
45;27;50;3;sea;false;ocean;0
46;17;28;35;sea;false;ocean;0
47;25;10;12;sea;false;ocean;0
48;0;15;60;sea;true;ocean;0
49;32;27;32;sea;false;ocean;0
50;16;21;32;sea;false;ocean;0
51;9;26;33;sea;true;ocean;0
52;0;4;90;sea;false;ocean;0
53;17;5;40;sea;false;ocean;0
54;19;26;5;sea;false;ocean;0
55;17;61;1;sea;false;ocean;0
56;16;8;55;sea;false;ocean;0
57;25;0;29;sea;false;ocean;0
58;47;24;1;sea;false;ocean;0
59;40;55;0;sea;true;ocean;0
60;2;70;3;sea;false;ocean;0
